,strategy,decks,penetration,seventeen,BJ_payout,-1_count_bet,-1_count_spot,0_count_bet,0_count_spot,1_count_bet,1_count_spot,2_count_bet,2_count_spot,3_count_bet,3_count_spot,4_count_bet,4_count_spot,5_count_bet,5_count_spot,6_count_bet,6_count_spot,probability_of_winning,expected_value,prob_of_winning_on_pos_count,expected_value_on_pos_count,fifth_percentile_loss
105,basic,4,1.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.523421,-0.0059824,0.5295816912895414,0.007875584443074781,-719.4099999999507
106,basic,4,1.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521877,-0.008117000000000003,0.5276040986207283,0.0043879131749379454,-806.9999999998902
107,basic,4,1.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521877,-0.008117000000000003,0.5276040986207283,0.0043879131749379454,-806.9999999998902
108,basic,4,1.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.52289,-0.007134600000000001,0.5279661730765991,0.004226343895823861,-785.6000000004065
109,basic,4,1.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.52289,-0.007134600000000001,0.5279661730765991,0.004226343895823861,-785.6000000004065
110,basic,4,1.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.52199,-0.0083164,0.5259210811690073,0.0004222469229517994,-838.8000000004305
111,basic,4,1.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.52199,-0.0083164,0.5259210811690073,0.0004222469229517994,-838.8000000004305
112,basic,4,2.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.523154,-0.006564799999999997,0.5275135781535192,0.0029514666627175586,-737.2000000003984
113,basic,4,2.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.523154,-0.006564799999999997,0.5275135781535192,0.0029514666627175586,-737.2000000003984
114,basic,4,2.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.522142,-0.008572399999999999,0.5250952515084577,-0.0007145716276518428,-924.4000000004087
115,basic,4,2.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.522142,-0.008572399999999999,0.5250952515084577,-0.0007145716276518428,-924.4000000004087
116,basic,6,0.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.522647,-0.008243399999999998,0.5289466004336734,0.005244247237764107,-810.0000000004242
117,basic,6,0.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.522647,-0.008243399999999998,0.5289466004336734,0.005244247237764107,-810.0000000004242
118,basic,6,0.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521347,-0.009821600000000002,0.52829575090141,0.005484235585332435,-936.2000000003728
119,basic,6,0.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521347,-0.009821600000000002,0.52829575090141,0.005484235585332435,-936.2000000003728
120,basic,6,1.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.523094,-0.0072686000000000035,0.5297169577502024,0.0066852827944019495,-797.8000000004387
121,basic,6,1.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.523094,-0.0072686000000000035,0.5297169577502024,0.0066852827944019495,-797.8000000004387
122,basic,6,1.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521544,-0.009113800000000005,0.5286463826197005,0.006146514448428603,-884.8000000004301
123,basic,6,1.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521544,-0.009113800000000005,0.5286463826197005,0.006146514448428603,-884.8000000004301
124,basic,6,1.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5223760000000001,-0.008769999999999997,0.5287598870354544,0.006298863672332482,-896.0000000004076
125,basic,6,1.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5223760000000001,-0.008769999999999997,0.5287598870354544,0.006298863672332482,-896.0000000004076
126,basic,6,1.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521253,-0.010354399999999998,0.5261829741447293,0.002781448133492691,-955.4100000002907
127,basic,6,1.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521253,-0.010354399999999998,0.5261829741447293,0.002781448133492691,-955.4100000002907
128,basic,6,2.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5234880000000001,-0.005468999999999997,0.5276160427965538,0.005214352214455662,-611.4000000003894
129,basic,6,2.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5234880000000001,-0.005468999999999997,0.5276160427965538,0.005214352214455662,-611.4000000003894
130,basic,6,2.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521678,-0.008902000000000005,0.5269438623580015,0.0030903275614867142,-831.2100000003823
131,basic,6,2.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521678,-0.008902000000000005,0.5269438623580015,0.0030903275614867142,-831.2100000003823
